,Subperiod,HMM,MSVAR,60_40,Equal_Weight,Buy_Hold_Equity
Annualized Return,2000_2009,0.07621089811040238,0.08272496715191524,0.031992480270302215,0.07974546463681365,-0.010312460770574572
Annualized Volatility,2000_2009,0.06800561741772523,0.07264596103955763,0.10041737871766628,0.07274696275685104,0.1614960251678603
Information Ratio vs 60/40,2000_2009,0.6022549374158828,0.644900947603061,,0.6453820010792657,-0.41627211206853465
Max Drawdown,2000_2009,-0.13823321622522355,-0.15165144456970092,-0.29616498988320417,-0.154205696700356,-0.5096651906592696
Sharpe Ratio,2000_2009,1.1170078312455551,1.1336407485686826,0.36440138788404475,1.0941004573655424,0.017602212376817243
Sortino Ratio,2000_2009,1.6172722755787798,1.7139877491331312,0.455427540697262,1.5810818287441557,0.023410912966290172
Annualized Return,2010_2019,0.09072263973485906,0.08514655375679925,0.1200498738969411,0.08695640512707103,0.1339540180926928
Annualized Volatility,2010_2019,0.05994405633463487,0.06114638384636401,0.06724742319943057,0.06024407120181909,0.12457023070717232
Information Ratio vs 60/40,2010_2019,-0.5251491386485112,-0.5999259184051152,,-0.6034271717437852,0.2180635740600616
Max Drawdown,2010_2019,-0.07729426345431278,-0.0780313185590018,-0.0724273126545194,-0.07455866577386017,-0.1632920579898759
Sharpe Ratio,2010_2019,1.4834847360064944,1.3710287479259053,1.7271015411679422,1.4185323318458045,1.0761763418583146
Sortino Ratio,2010_2019,2.4341465608694604,2.457958205852997,2.6514896672875077,2.490644083860323,1.6088328152681117
Annualized Return,2020_2025,0.0894589042376348,0.10803061172867912,0.08524100623557085,0.10922560054949715,0.15047557222504016
Annualized Volatility,2020_2025,0.10621903271747601,0.09967635589935804,0.13336460420943985,0.101234061998384,0.17177315649399527
Information Ratio vs 60/40,2020_2025,0.011682087277716377,0.255002236313239,,0.29378122622108305,0.8842471718126376
Max Drawdown,2020_2025,-0.21993437827350637,-0.19565972013925859,-0.25739193889499645,-0.19633571365419866,-0.23959573390949906
Sharpe Ratio,2020_2025,0.8617371288882233,1.08253678208657,0.6812948428314227,1.0781311031263554,0.9058053931137741
Sortino Ratio,2020_2025,1.465555732597403,1.840394876486969,1.187761254374031,1.8827813811584357,1.4079823096041206
